,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,fe,combined_compositions,yield_strength,tensile_strength,elongation,combined_properties,elongation_predicted,combined_predicted,elongation_catagorised_true,elongation_catagorised_predicted
142,0.08,0.59,0.3,12.16,0.01,6.3,0.01,0.05,0.01,10.0,0.0,0.03,0.0,70.43,"[70.43, 0.08, 0.59, 0.3, 12.16, 0.01, 6.3, 0.01, 0.05, 0.01, 10.0, 0.0, 0.03, 0.0]",1287.4,,9.7,[1287.4    nan    9.7],12.882778574327869,[1170.56026467 1656.7180658    12.88277857],medium,strong
143,0.02,0.01,0.01,0.01,18.1,4.8,0.01,0.0,0.3,6.8,0.0,0.09,0.41,69.44,"[69.44, 0.02, 0.01, 0.01, 0.01, 18.1, 4.8, 0.01, 0.0, 0.3, 6.8, 0.0, 0.09, 0.41]",1005.9,1109.3,28.0,[1005.9 1109.3   28. ],16.234571060278057,[1348.42837041 1438.61574493   16.23457106],strong,strong
144,0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49,70.66,"[70.66, 0.01, 0.01, 0.03, 7.93, 10.02, 0.2, 0.0, 0.01, 0.0, 8.14, 2.29, 0.2, 0.49]",1525.0,1635.0,9.8,[1525.  1635.     9.8],14.663963952841382,[1364.92846748 1530.06965206   14.66396395],medium,strong
145,0.07,0.6,0.3,17.0,7.0,0.02,0.01,0.0,0.01,0.01,0.0,1.2,0.0,73.76,"[73.76, 0.07, 0.6, 0.3, 17.0, 7.0, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 1.2, 0.0]",1362.9,1447.6,9.0,[1362.9 1447.6    9. ],14.99923979329423,[1405.07479963 1515.49850542   14.99923979],medium,strong
146,0.02,0.01,0.01,5.1,11.2,5.1,0.01,0.0,0.01,6.2,0.0,0.71,0.94,70.73,"[70.73, 0.02, 0.01, 0.01, 5.1, 11.2, 5.1, 0.01, 0.0, 0.01, 6.2, 0.0, 0.71, 0.94]",1071.4,1229.8,24.5,[1071.4 1229.8   24.5],12.44754856418196,[1608.81446883 1772.28642626   12.44754856],strong,strong
147,0.02,0.01,0.01,5.1,11.2,5.1,0.49,0.0,0.01,6.3,0.0,0.41,0.74,70.58,"[70.58, 0.02, 0.01, 0.01, 5.1, 11.2, 5.1, 0.49, 0.0, 0.01, 6.3, 0.0, 0.41, 0.74]",1136.8,1205.8,22.5,[1136.8 1205.8   22.5],13.324591311266028,[1486.26163945 1650.39638501   13.32459131],strong,strong
148,0.09,2.8,0.32,17.48,4.44,0.02,0.01,0.0,0.01,0.01,0.0,0.9,0.0,73.92,"[73.92, 0.09, 2.8, 0.32, 17.48, 4.44, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.9, 0.0]",1236.6,1381.9,12.9,[1236.6 1381.9   12.9],14.251296708327365,[1331.64228811 1515.11791504   14.25129671],strong,strong
149,0.01,0.01,0.01,5.1,11.2,5.1,0.94,0.0,0.01,6.3,0.0,0.09,0.78,70.46,"[70.46, 0.01, 0.01, 0.01, 5.1, 11.2, 5.1, 0.94, 0.0, 0.01, 6.3, 0.0, 0.09, 0.78]",1040.4,1164.4,22.0,[1040.4 1164.4   22. ],13.592312399411679,[1419.20337023 1592.02914312   13.5923124 ],strong,strong
150,0.02,0.01,0.01,0.01,14.6,5.0,0.43,0.0,0.2,8.9,0.0,0.48,0.2,70.13,"[70.13, 0.02, 0.01, 0.01, 0.01, 14.6, 5.0, 0.43, 0.0, 0.2, 8.9, 0.0, 0.48, 0.2]",1026.6,1178.2,18.0,[1026.6 1178.2   18. ],15.262402227718384,[1403.96620847 1504.02171025   15.26240223],strong,strong
151,0.02,0.01,0.01,0.01,14.9,4.8,0.26,0.0,0.01,8.7,0.0,0.36,0.71,70.18,"[70.18, 0.02, 0.01, 0.01, 0.01, 14.9, 4.8, 0.26, 0.0, 0.01, 8.7, 0.0, 0.36, 0.71]",1164.4,1260.9,24.0,[1164.4 1260.9   24. ],13.805835049454963,[1541.96540818 1663.28777268   13.80583505],strong,strong
152,0.04,0.44,0.32,12.0,0.01,6.16,0.01,0.03,0.01,10.0,0.0,0.03,0.0,70.95,"[70.95, 0.04, 0.44, 0.32, 12.0, 0.01, 6.16, 0.01, 0.03, 0.01, 10.0, 0.0, 0.03, 0.0]",1219.7,1674.0,12.5,[1219.7 1674.    12.5],14.99399272242965,[1090.55081126 1500.87011369   14.99399272],strong,strong
153,0.04,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.5,0.24,70.16,"[70.16, 0.04, 0.01, 0.01, 0.01, 15.0, 5.0, 0.01, 0.0, 0.2, 8.8, 0.0, 0.5, 0.24]",1019.7,1157.5,15.0,[1019.7 1157.5   15. ],15.22588117457974,[1436.47325625 1547.19521418   15.22588117],strong,strong
154,0.21,0.01,0.6,8.2,2.6,1.3,0.29,0.0,0.01,14.2,0.0,0.03,0.02,72.51,"[72.51, 0.21, 0.01, 0.6, 8.2, 2.6, 1.3, 0.29, 0.0, 0.01, 14.2, 0.0, 0.03, 0.02]",1391.8,1839.6,11.0,[1391.8 1839.6   11. ],13.585128542858053,[1506.09969167 1865.18868563   13.58512854],strong,strong
155,0.01,0.01,0.01,5.0,11.2,5.0,0.01,0.0,0.01,6.2,0.0,0.09,1.81,70.65,"[70.65, 0.01, 0.01, 0.01, 5.0, 11.2, 5.0, 0.01, 0.0, 0.01, 6.2, 0.0, 0.09, 1.81]",1164.4,1288.4,33.0,[1164.4 1288.4   33. ],10.892376616187079,[1712.27501536 1942.33535162   10.89237662],strong,strong
156,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0,71.66,"[71.66, 0.17, 0.16, 0.05, 2.97, 10.02, 1.21, 0.01, 0.0, 0.01, 13.74, 0.0, 0.01, 0.0]",1547.3,1663.9,14.4,[1547.3 1663.9   14.4],15.757985390136062,[1493.93852502 1715.11917242   15.75798539],strong,strong
157,0.07,0.6,0.3,15.0,7.0,2.25,0.01,0.0,0.01,0.01,0.0,1.2,0.0,73.57,"[73.57, 0.07, 0.6, 0.3, 15.0, 7.0, 2.25, 0.01, 0.0, 0.01, 0.01, 0.0, 1.2, 0.0]",1463.0,1555.4,6.5,[1463.  1555.4    6.5],14.17042566243904,[1389.5062326  1522.28566113   14.17042566],medium,strong
158,0.03,0.05,0.17,0.01,16.4,0.02,4.0,0.0,0.01,6.9,0.0,0.1,0.14,72.13,"[72.13, 0.03, 0.05, 0.17, 0.01, 16.4, 0.02, 4.0, 0.0, 0.01, 6.9, 0.0, 0.1, 0.14]",1536.5,1536.5,11.0,[1536.5 1536.5   11. ],12.152032571139245,[1528.55861088 1525.9716516    12.15203257],strong,strong
159,0.35,0.07,4.75,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,76.27,"[76.27, 0.35, 0.07, 4.75, 0.01, 18.5, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.03, 0.0]",1250.5,1949.9,2.0,[1250.5 1949.9    2. ],3.248301934915885,[1779.85172494 2120.99042181    3.24830193],fragile,fragile
160,0.01,0.01,0.01,5.0,11.1,5.1,0.01,0.0,0.01,6.3,0.0,0.1,1.29,71.06,"[71.06, 0.01, 0.01, 0.01, 5.0, 11.1, 5.1, 0.01, 0.0, 0.01, 6.3, 0.0, 0.1, 1.29]",1123.1,1247.1,23.0,[1123.1 1247.1   23. ],12.866120497453352,[1544.78909353 1746.51938865   12.8661205 ],strong,strong
161,0.09,1.0,0.5,17.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0,73.8,"[73.8, 0.09, 1.0, 0.5, 17.5, 4.2, 2.75, 0.01, 0.1, 0.01, 0.01, 0.0, 0.03, 0.0]",1016.4,1324.4,12.0,[1016.4 1324.4   12. ],10.318477739845244,[1168.0248964  1650.10874437   10.31847774],strong,strong
162,0.19,0.01,0.01,6.8,2.8,2.4,0.28,0.0,0.01,14.2,1.3,0.03,0.02,71.93,"[71.93, 0.19, 0.01, 0.01, 6.8, 2.8, 2.4, 0.28, 0.0, 0.01, 14.2, 1.3, 0.03, 0.02]",1371.1,1812.1,13.0,[1371.1 1812.1   13. ],13.369057486589787,[1455.71015707 1794.25599564   13.36905749],strong,strong
163,0.09,0.5,0.28,17.12,4.18,2.02,0.01,0.0,0.01,2.02,0.0,0.03,0.0,73.77,"[73.77, 0.09, 0.5, 0.28, 17.12, 4.18, 2.02, 0.01, 0.0, 0.01, 2.02, 0.0, 0.03, 0.0]",1117.3,1286.6,20.2,[1117.3 1286.6   20.2],17.116082550575562,[1101.33355791 1336.74039187   17.11608255],strong,strong
164,0.1,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6.0,0.03,0.0,70.97,"[70.97, 0.1, 0.53, 0.26, 12.32, 0.01, 0.02, 0.01, 0.03, 0.01, 9.75, 6.0, 0.03, 0.0]",1232.0,1566.2,14.7,[1232.  1566.2   14.7],9.7126850246167,[1224.11202364 1630.88092353    9.71268502],strong,medium
165,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,72.67,"[72.67, 0.16, 0.16, 0.05, 1.97, 10.05, 1.0, 0.01, 0.0, 0.01, 13.88, 0.0, 0.01, 0.0]",1592.9,1729.6,14.5,[1592.9 1729.6   14.5],15.914224555878755,[1488.27262666 1690.79599836   15.91422456],strong,strong
166,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.0,0.01,13.8,0.0,0.01,0.01,72.8,"[72.8, 0.16, 0.06, 0.04, 1.95, 10.15, 0.98, 0.01, 0.0, 0.01, 13.8, 0.0, 0.01, 0.01]",1629.9,1760.8,14.5,[1629.9 1760.8   14.5],15.939926967671504,[1491.90682373 1691.01939024   15.93992697],strong,strong
167,0.02,0.01,0.01,5.0,11.1,4.8,0.01,0.0,0.01,6.2,0.0,0.09,0.82,71.91,"[71.91, 0.02, 0.01, 0.01, 5.0, 11.1, 4.8, 0.01, 0.0, 0.01, 6.2, 0.0, 0.09, 0.82]",1047.3,1178.2,18.0,[1047.3 1178.2   18. ],14.570028844969492,[1407.5206362  1580.2918748    14.57002884],strong,strong
168,0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.2,0.0,0.03,0.0,73.08,"[73.08, 0.11, 0.58, 0.22, 11.89, 0.01, 3.88, 0.01, 0.02, 0.01, 10.2, 0.0, 0.03, 0.0]",1096.5,1492.3,14.5,[1096.5 1492.3   14.5],14.76500890927961,[1222.97432401 1605.83903044   14.76500891],strong,strong
169,0.24,0.01,0.01,9.1,2.8,1.3,0.37,0.0,0.01,12.4,0.0,0.03,0.03,73.72,"[73.72, 0.24, 0.01, 0.01, 9.1, 2.8, 1.3, 0.37, 0.0, 0.01, 12.4, 0.0, 0.03, 0.03]",1615.8,1960.2,15.5,[1615.8 1960.2   15.5],13.771444431932897,[1530.0961187  1863.17603303   13.77144443],strong,strong
170,0.23,0.01,0.01,9.0,2.8,1.3,0.3,0.0,0.01,12.5,0.0,0.03,0.03,73.79,"[73.79, 0.23, 0.01, 0.01, 9.0, 2.8, 1.3, 0.3, 0.0, 0.01, 12.5, 0.0, 0.03, 0.03]",1522.7,2024.0,14.4,[1522.7 2024.    14.4],14.08350858985616,[1512.59468846 1839.81328454   14.08350859],strong,strong
171,0.02,0.01,0.01,0.01,13.0,5.0,0.47,0.0,0.01,8.9,0.0,0.2,0.71,71.68,"[71.68, 0.02, 0.01, 0.01, 0.01, 13.0, 5.0, 0.47, 0.0, 0.01, 8.9, 0.0, 0.2, 0.71]",1061.1,1198.9,23.0,[1061.1 1198.9   23. ],13.755054339242658,[1495.35284176 1635.38675717   13.75505434],strong,strong
172,0.18,0.01,0.01,9.1,2.8,1.3,0.29,0.0,0.01,12.5,0.0,0.03,0.03,73.77,"[73.77, 0.18, 0.01, 0.01, 9.1, 2.8, 1.3, 0.29, 0.0, 0.01, 12.5, 0.0, 0.03, 0.03]",,1800.6,16.0,[   nan 1800.6   16. ],15.213163139844738,[1432.12908436 1730.64627475   15.21316314],strong,strong
173,0.24,0.01,0.01,9.0,2.8,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02,73.9,"[73.9, 0.24, 0.01, 0.01, 9.0, 2.8, 1.3, 0.29, 0.0, 0.01, 12.4, 0.0, 0.03, 0.02]",1564.0,1939.6,16.0,[1564.  1939.6   16. ],13.908616929629552,[1523.66782177 1855.05690749   13.90861693],strong,strong
174,0.1,3.0,0.3,16.97,4.2,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,75.34,"[75.34, 0.1, 3.0, 0.3, 16.97, 4.2, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.03, 0.0]",1130.4,1350.6,30.5,[1130.4 1350.6   30.5],16.1529363204767,[1116.28901836 1335.63722149   16.15293632],strong,strong
175,0.15,0.16,0.05,2.97,10.06,1.0,0.01,0.0,0.01,12.05,0.0,0.01,0.0,73.54,"[73.54, 0.15, 0.16, 0.05, 2.97, 10.06, 1.0, 0.01, 0.0, 0.01, 12.05, 0.0, 0.01, 0.0]",1455.4,1567.7,16.7,[1455.4 1567.7   16.7],16.12069540998806,[1445.99610179 1631.56083284   16.12069541],strong,strong
176,0.09,2.16,0.18,16.92,4.26,1.04,0.01,0.0,0.01,0.01,0.0,0.03,0.0,75.26,"[75.26, 0.09, 2.16, 0.18, 16.92, 4.26, 1.04, 0.01, 0.0, 0.01, 0.01, 0.0, 0.03, 0.0]",1028.7,1315.2,18.0,[1028.7 1315.2   18. ],16.6569325085974,[1088.12877785 1300.38582477   16.65693251],strong,strong
177,0.03,0.01,0.01,12.64,8.44,2.24,0.01,0.0,0.01,0.01,0.0,1.31,0.01,75.31,"[75.31, 0.03, 0.01, 0.01, 12.64, 8.44, 2.24, 0.01, 0.0, 0.01, 0.01, 0.0, 1.31, 0.01]",1521.3,1572.3,13.5,[1521.3 1572.3   13.5],15.285471836107007,[1381.57133401 1432.58713063   15.28547184],strong,strong
178,0.02,0.1,4.27,0.01,18.1,0.02,0.01,0.0,0.01,0.01,0.0,0.07,0.09,77.33,"[77.33, 0.02, 0.1, 4.27, 0.01, 18.1, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.07, 0.09]",1801.8,1915.4,4.0,[1801.8 1915.4    4. ],10.829169612652464,[1286.20783771 1410.93309746   10.82916961],fragile,strong
179,0.15,0.16,0.06,2.01,10.08,1.22,0.01,0.0,0.01,12.15,0.0,0.01,0.0,74.16,"[74.16, 0.15, 0.16, 0.06, 2.01, 10.08, 1.22, 0.01, 0.0, 0.01, 12.15, 0.0, 0.01, 0.0]",1503.4,1642.2,16.0,[1503.4 1642.2   16. ],15.936989248167848,[1450.63317317 1632.23422884   15.93698925],strong,strong
180,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,75.68,"[75.68, 0.03, 0.01, 0.01, 12.51, 8.36, 2.22, 0.01, 0.0, 0.01, 0.01, 0.0, 1.06, 0.09]",1350.3,1413.2,18.2,[1350.3 1413.2   18.2],15.599491042776048,[1341.1212927  1404.79561119   15.59949104],strong,strong
181,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,75.68,"[75.68, 0.04, 0.01, 0.02, 12.52, 8.63, 2.1, 0.01, 0.0, 0.01, 0.01, 0.0, 1.0, 0.0]",1308.0,1431.4,14.3,[1308.  1431.4   14.3],15.926938870885323,[1315.59759121 1379.40476892   15.92693887],strong,strong
182,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,75.74,"[75.74, 0.03, 0.01, 0.01, 12.49, 8.31, 2.21, 0.01, 0.01, 0.01, 0.01, 0.0, 1.06, 0.09]",1357.9,1408.6,16.8,[1357.9 1408.6   16.8],15.003732012193058,[1350.86505163 1437.5254843    15.00373201],strong,strong
183,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,75.77,"[75.77, 0.03, 0.01, 0.01, 12.49, 8.31, 2.22, 0.01, 0.0, 0.01, 0.01, 0.0, 1.07, 0.05]",1317.0,1526.5,18.1,[1317.  1526.5   18.1],15.721342707341654,[1330.42276363 1391.2854687    15.72134271],strong,strong
184,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,75.77,"[75.77, 0.03, 0.01, 0.01, 12.52, 8.34, 2.21, 0.01, 0.01, 0.01, 0.01, 0.0, 1.06, 0.02]",1269.0,1325.2,16.2,[1269.  1325.2   16.2],15.28594516853531,[1328.31571908 1410.94380194   15.28594517],strong,strong
185,0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0.0,1.05,0.01,75.76,"[75.76, 0.03, 0.01, 0.01, 12.57, 8.29, 2.22, 0.01, 0.01, 0.01, 0.01, 0.0, 1.05, 0.01]",1306.9,1336.4,15.9,[1306.9 1336.4   15.9],15.347140499479089,[1321.38711823 1404.66848612   15.3471405 ],strong,strong
186,0.03,0.01,0.01,12.54,8.38,2.24,0.01,0.0,0.01,0.01,0.0,1.03,0.01,75.69,"[75.69, 0.03, 0.01, 0.01, 12.54, 8.38, 2.24, 0.01, 0.0, 0.01, 0.01, 0.0, 1.03, 0.01]",1285.0,1311.3,16.0,[1285.  1311.3   16. ],15.983520313206265,[1306.47692649 1367.07584164   15.98352031],strong,strong
187,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0.0,0.01,0.01,0.0,1.07,0.01,75.79,"[75.79, 0.04, 0.01, 0.01, 12.49, 8.3, 2.23, 0.01, 0.0, 0.01, 0.01, 0.0, 1.07, 0.01]",1297.5,1343.3,15.5,[1297.5 1343.3   15.5],15.652086628388725,[1333.01659958 1397.63854304   15.65208663],strong,strong
188,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.05,75.77,"[75.77, 0.04, 0.01, 0.01, 12.51, 8.32, 2.22, 0.01, 0.0, 0.01, 0.01, 0.0, 1.06, 0.05]",1344.0,1511.0,17.8,[1344.  1511.    17.8],15.53594437674937,[1343.93126977 1411.25594517   15.53594438],strong,strong
189,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,75.75,"[75.75, 0.04, 0.01, 0.01, 12.45, 8.33, 2.2, 0.01, 0.0, 0.01, 0.01, 0.0, 1.04, 0.1]",1348.6,1440.6,17.3,[1348.6 1440.6   17.3],15.380856351754343,[1354.95856105 1425.04699068   15.38085635],strong,strong
190,0.12,0.18,0.06,2.01,10.07,1.0,0.01,0.0,0.01,12.1,0.0,0.01,0.0,74.4,"[74.4, 0.12, 0.18, 0.06, 2.01, 10.07, 1.0, 0.01, 0.0, 0.01, 12.1, 0.0, 0.01, 0.0]",1463.3,1574.7,15.4,[1463.3 1574.7   15.4],16.63244130934004,[1404.49027839 1563.85241517   16.63244131],strong,strong
191,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,75.84,"[75.84, 0.03, 0.01, 0.01, 12.51, 8.28, 2.2, 0.01, 0.01, 0.01, 0.01, 0.0, 1.05, 0.05]",1276.7,1334.0,18.3,[1276.7 1334.    18.3],15.193665110939584,[1335.2694104  1419.98180874   15.19366511],strong,strong
192,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,75.83,"[75.83, 0.03, 0.01, 0.01, 12.51, 8.31, 2.22, 0.01, 0.0, 0.01, 0.01, 0.0, 1.06, 0.02]",1296.0,1355.3,18.2,[1296.  1355.3   18.2],15.873727182919307,[1318.27674503 1377.87830576   15.87372718],strong,strong
193,0.03,0.01,0.01,12.56,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.02,0.01,75.8,"[75.8, 0.03, 0.01, 0.01, 12.56, 8.31, 2.22, 0.01, 0.0, 0.01, 0.01, 0.0, 1.02, 0.01]",1277.7,1308.8,16.1,[1277.7 1308.8   16.1],16.017277779187136,[1303.73816282 1364.74713896   16.01727778],strong,strong
194,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0.0,0.01,0.01,0.0,1.02,0.09,75.81,"[75.81, 0.04, 0.01, 0.01, 12.49, 8.3, 2.21, 0.01, 0.0, 0.01, 0.01, 0.0, 1.02, 0.09]",1391.2,1426.0,16.6,[1391.2 1426.    16.6],15.480663729909141,[1346.28953449 1417.18637729   15.48066373],strong,strong
195,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.0,0.01,0.01,0.0,1.04,0.01,75.81,"[75.81, 0.04, 0.01, 0.01, 12.46, 8.34, 2.24, 0.01, 0.0, 0.01, 0.01, 0.0, 1.04, 0.01]",1312.0,1344.4,14.6,[1312.  1344.4   14.6],15.728240666663456,[1325.47025929 1390.94507034   15.72824067],strong,strong
196,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,75.89,"[75.89, 0.03, 0.01, 0.01, 12.47, 8.31, 2.2, 0.01, 0.0, 0.01, 0.01, 0.0, 1.03, 0.02]",1276.5,1463.8,18.6,[1276.5 1463.8   18.6],15.946396626990769,[1310.4717286  1370.40945424   15.94639663],strong,strong
197,0.2,0.01,0.01,8.2,2.1,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02,75.44,"[75.44, 0.2, 0.01, 0.01, 8.2, 2.1, 1.3, 0.29, 0.0, 0.01, 12.4, 0.0, 0.03, 0.02]",1357.3,1777.6,11.0,[1357.3 1777.6   11. ],14.635606760716401,[1459.84338432 1761.67560199   14.63560676],strong,strong
198,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,75.98,"[75.98, 0.04, 0.01, 0.01, 12.35, 8.27, 2.21, 0.01, 0.0, 0.01, 0.01, 0.0, 1.04, 0.03]",1294.9,1352.1,18.2,[1294.9 1352.1   18.2],15.635645302957684,[1332.32795948 1397.55984238   15.6356453 ],strong,strong
199,0.13,1.0,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0,76.02,"[76.02, 0.13, 1.0, 0.25, 15.5, 4.2, 2.75, 0.01, 0.1, 0.01, 0.01, 0.0, 0.03, 0.0]",1155.0,1409.1,14.0,[1155.  1409.1   14. ],9.616936562096589,[1241.35156819 1713.10855107    9.61693656],strong,medium
200,0.14,3.0,0.24,15.69,4.14,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,76.68,"[76.68, 0.14, 3.0, 0.24, 15.69, 4.14, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.03, 0.0]",1153.4,1359.8,17.2,[1153.4 1359.8   17.2],15.207452537422496,[1186.56511903 1413.53128954   15.20745254],strong,strong
201,0.04,0.01,0.01,12.58,8.4,2.2,0.01,0.0,0.01,0.01,0.0,0.77,0.02,75.97,"[75.97, 0.04, 0.01, 0.01, 12.58, 8.4, 2.2, 0.01, 0.0, 0.01, 0.01, 0.0, 0.77, 0.02]",1280.2,1343.8,18.4,[1280.2 1343.8   18.4],16.426236414574472,[1257.3453978  1333.64550181   16.42623641],strong,strong
202,0.12,0.54,1.2,12.02,2.0,3.01,0.35,0.05,0.41,4.0,0.0,0.03,0.0,76.27,"[76.27, 0.12, 0.54, 1.2, 12.02, 2.0, 3.01, 0.35, 0.05, 0.41, 4.0, 0.0, 0.03, 0.0]",1074.9,1342.9,17.9,[1074.9 1342.9   17.9],10.690384820779805,[1229.95631531 1661.5081964    10.69038482],strong,strong
203,0.01,0.07,0.11,11.3,10.3,2.05,0.01,0.0,0.01,0.01,0.0,0.24,0.23,75.69,"[75.69, 0.01, 0.07, 0.11, 11.3, 10.3, 2.05, 0.01, 0.0, 0.01, 0.01, 0.0, 0.24, 0.23]",1157.5,1187.8,16.5,[1157.5 1187.8   16.5],17.46757044921727,[1161.35071899 1236.08351427   17.46757045],strong,strong
204,0.04,0.01,0.04,12.44,8.26,2.19,0.01,0.0,0.01,0.01,0.0,0.77,0.02,76.18,"[76.18, 0.04, 0.01, 0.04, 12.44, 8.26, 2.19, 0.01, 0.0, 0.01, 0.01, 0.0, 0.77, 0.02]",1280.8,1340.1,16.1,[1280.8 1340.1   16.1],16.340758786544416,[1257.14538086 1333.96620977   16.34075879],strong,strong
205,0.4,0.16,0.01,12.14,0.01,5.84,0.96,0.0,0.01,4.92,0.0,0.03,0.0,75.5,"[75.5, 0.4, 0.16, 0.01, 12.14, 0.01, 5.84, 0.96, 0.0, 0.01, 4.92, 0.0, 0.03, 0.0]",1667.4,2122.1,4.0,[1667.4 2122.1    4. ],7.850351932400695,[1620.21522625 2090.70717362    7.85035193],fragile,medium
206,0.03,0.01,0.01,11.2,9.61,0.02,0.01,0.0,0.01,0.01,4.0,0.39,0.26,74.39,"[74.39, 0.03, 0.01, 0.01, 11.2, 9.61, 0.02, 0.01, 0.0, 0.01, 0.01, 4.0, 0.39, 0.26]",1199.0,1266.5,10.3,[1199.  1266.5   10.3],13.395172911644531,[1239.30773232 1331.63104307   13.39517291],strong,strong
207,0.04,0.01,0.01,12.38,8.25,2.2,0.01,0.0,0.01,0.01,0.0,0.81,0.03,76.26,"[76.26, 0.04, 0.01, 0.01, 12.38, 8.25, 2.2, 0.01, 0.0, 0.01, 0.01, 0.0, 0.81, 0.03]",1305.4,1361.8,18.2,[1305.4 1361.8   18.2],16.24555107000453,[1271.30826978 1345.20378926   16.24555107],strong,strong
208,0.01,0.01,0.01,0.01,21.0,2.1,0.01,0.0,0.01,0.01,0.0,0.13,1.9,74.78,"[74.78, 0.01, 0.01, 0.01, 0.01, 21.0, 2.1, 0.01, 0.0, 0.01, 0.01, 0.0, 0.13, 1.9]",1661.2,1888.4,6.0,[1661.2 1888.4    6. ],10.811285826344122,[1821.46909664 1843.68261582   10.81128583],medium,strong
209,0.01,0.1,3.3,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.11,77.85,"[77.85, 0.01, 0.1, 3.3, 0.01, 18.5, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0, 0.05, 0.11]",1474.4,1529.6,13.5,[1474.4 1529.6   13.5],12.697576149644057,[1262.77430264 1329.30117508   12.69757615],strong,strong
210,0.01,0.01,0.01,10.5,10.3,3.1,0.01,0.0,0.01,0.01,0.0,0.36,0.11,75.6,"[75.6, 0.01, 0.01, 0.01, 10.5, 10.3, 3.1, 0.01, 0.0, 0.01, 0.01, 0.0, 0.36, 0.11]",1091.4,1140.3,22.0,[1091.4 1140.3   22. ],17.443906258569495,[1144.85943968 1213.4812734    17.44390626],strong,strong
211,0.02,0.74,0.1,10.2,10.2,1.98,0.01,0.0,0.01,0.01,0.0,0.3,0.22,76.17,"[76.17, 0.02, 0.74, 0.1, 10.2, 10.2, 1.98, 0.01, 0.0, 0.01, 0.01, 0.0, 0.3, 0.22]",1145.8,1196.1,18.0,[1145.8 1196.1   18. ],16.727778394894827,[1194.91728217 1270.77915561   16.72777839],strong,strong
212,0.01,0.05,0.02,10.6,10.6,2.06,0.01,0.0,0.01,0.01,0.0,0.36,0.08,76.19,"[76.19, 0.01, 0.05, 0.02, 10.6, 10.6, 2.06, 0.01, 0.0, 0.01, 0.01, 0.0, 0.36, 0.08]",1194.0,1235.4,17.0,[1194.  1235.4   17. ],17.82970266173364,[1149.62269336 1197.66418508   17.82970266],strong,strong
